name,google_url,categorie,address,phone,website,note,nb_avis,accessible,chiens_acceptes,livraison,livraison_sans_contact,service_de_drive,vente_a_emporter,repas_sur_place,code_plus
Paris Cayenne,https://www.google.com/maps/place/Paris+Cayenne/data=!4m7!3m6!1s0x8d123d318aeb0749:0x755c0a6f664f65bc!8m2!3d4.9407359!4d-52.329393!16s%2Fg%2F11bw642f3n!19sChIJSQfrijE9Eo0RvGVPZm8KXHU?authuser=0&hl=fr&rclk=1,Restaurant français,"59 Rue Lallouette, Cayenne 97300, Guyane française",+594 694 21 87 83,,"4,5",369,oui,,non,,,,oui,"WMRC+76 Cayenne, Guyane française"
Cosy Restaurant,https://www.google.com/maps/place/Cosy+Restaurant/data=!4m7!3m6!1s0x8d123dd49cc991f1:0xd8d0180bfc8c5469!8m2!3d4.9426476!4d-52.3248681!16s%2Fg%2F11pzby_t9z!19sChIJ8ZHJnNQ9Eo0RaVSM_AsY0Ng?authuser=0&hl=fr&rclk=1,Restaurant,"29 Rue G. Devèze, Cayenne 97300, Guyane française",+594 594 35 42 96,,"4,7",27,oui,,non,,,,oui,"WMVG+33 Cayenne, Guyane française"
Le Kitchen,https://www.google.com/maps/place/Le+Kitchen/data=!4m7!3m6!1s0x8d12239b5f50fc1d:0x1b5022754f833ab5!8m2!3d4.9436514!4d-52.309096!16s%2Fg%2F11lb_fmlc_!19sChIJHfxQX5sjEo0RtTqDT3UiUBs?authuser=0&hl=fr&rclk=1,Restaurant,"1168 Rte de Montabo, Cayenne 97300, Guyane française",+594 594 36 16 00,lekitchen.com,"4,6",215,oui,,oui,,,oui,oui,"WMVR+F9 Cayenne, Guyane française"
Kaz Mimi Cayenne,https://www.google.com/maps/place/Kaz+Mimi+Cayenne/data=!4m7!3m6!1s0x8d123deec4c602ad:0x8cef204e0a777e95!8m2!3d4.9355374!4d-52.3308068!16s%2Fg%2F11gmyszxts!19sChIJrQLGxO49Eo0RlX53Ck4g74w?authuser=0&hl=fr&rclk=1,Restaurant,"40 Avenue Élie, Castor 97300, Guyane française",+594 594 38 59 45,,"4,1",315,oui,,,,,oui,oui,"WMP9+6M Cayenne, Guyane française"
RESTAURANT BAR À CEVICHE CAYENNE,https://www.google.com/maps/place/RESTAURANT+BAR+%C3%80+CEVICHE+CAYENNE/data=!4m7!3m6!1s0x8d123d1034ad2239:0xa6d871b5c65cac50!8m2!3d4.942305!4d-52.328062!16s%2Fg%2F11ftl27nw7!19sChIJOSKtNBA9Eo0RUKxcxrVx2KY?authuser=0&hl=fr&rclk=1,Restaurant,"78 Rue Héder, Cayenne 97300, Guyane française",+594 694 91 50 68,baraceviche-cayenne.com,"4,7",78,oui,,non,,,oui,oui,"WMRC+WQ Cayenne, Guyane française"
Le Wood,https://www.google.com/maps/place/Le+Wood/data=!4m7!3m6!1s0x8d123d2d22ec50cf:0xee2178dc7c7ae6d0!8m2!3d4.9348837!4d-52.3030929!16s%2Fg%2F11h2hkdcnv!19sChIJz1DsIi09Eo0R0OZ6fNx4Ie4?authuser=0&hl=fr&rclk=1,Restaurant,"1, rue de l'Université Jiao Tong Résidence Awaras Cayenne, 97300, Guyane française",+594 594 39 99 50,lewoodcayenne.com,"4,2",438,oui,,non,,,,oui,"WMMW+XQ Cayenne, Guyane française"
Restaurant Amazone Delices Cayenne,https://www.google.com/maps/place/Restaurant+Amazone+Delices+Cayenne/data=!4m7!3m6!1s0x8d123dd423b12bf9:0x9a96a1b439c82371!8m2!3d4.9350987!4d-52.33243!16s%2Fg%2F11rwlfbjc1!19sChIJ-SuxI9Q9Eo0RcSPIObShlpo?authuser=0&hl=fr&rclk=1,Restaurant,"22 Avenue de la liberté Cayenne, 97300, Guyane française",+594 694 44 73 33,,"4,6",60,oui,,,,,oui,oui,"WMP9+22 Cayenne, Guyane française"
Le PARTAGAS,https://www.google.com/maps/place/Le+PARTAGAS/data=!4m7!3m6!1s0x8d123d2b8016cf53:0x916ee750c607ca52!8m2!3d4.9418157!4d-52.3242281!16s%2Fg%2F1q649ktsw!19sChIJU88WgCs9Eo0RUsoHxlDnbpE?authuser=0&hl=fr&rclk=1,Restaurant,"50 Av. Voltaire, Cayenne 97300, Guyane française",+594 594 30 51 36,,"4,3",131,oui,,non,,,,oui,"WMRG+P8 Cayenne, Guyane française"
Chez Sauveur et Filles Restaurant,https://www.google.com/maps/place/Chez+Sauveur+et+Filles+Restaurant/data=!4m7!3m6!1s0x8d123d4f573e7b79:0x10628fd9b470340d!8m2!3d4.937943!4d-52.3301719!16s%2Fg%2F11fmp9wrxz!19sChIJeXs-V089Eo0RDTRwtNmPYhA?authuser=0&hl=fr&rclk=1,Restaurant,"Rue J. Catayée &, 97300 Rue du Lieutenant Becker, Cayenne, Guyane française",+594 594 30 13 94,dorceelouse.wixsite.com,"4,5",88,non,,,,,,oui,"WMQ9+5W Cayenne, Guyane française"
Le Morpho,https://www.google.com/maps/place/Le+Morpho/data=!4m7!3m6!1s0x8d123dacf8d7967f:0x89891f9c2ae55b4c!8m2!3d4.9043415!4d-52.3214595!16s%2Fg%2F11gfndqp8l!19sChIJf5bX-Kw9Eo0RTFvlKpwfiYk?authuser=0&hl=fr&rclk=1,Restaurant,"Centre Commercial Hyper U, Collery, Cayenne 97300, Guyane française",+594 594 25 36 30,facebook.com,"4,3",54,oui,,non,,,,oui,"WM3H+PC Cayenne, Guyane française"
Maison Péruvienne,https://www.google.com/maps/place/Maison+P%C3%A9ruvienne/data=!4m7!3m6!1s0x8d123df29c5d945f:0xa8587e3bf2af1055!8m2!3d4.934825!4d-52.3025423!16s%2Fg%2F11fj7k7j5s!19sChIJX5RdnPI9Eo0RVRCv8jt-WKg?authuser=0&hl=fr&rclk=1,Restaurant péruvien,"Local 6, Rés. Awaras, 3 Rue de l'université, Cayenne 97300, Guyane française",+594 694 08 75 06,maison-peruvienne.com,"4,4",391,oui,,non,,,oui,oui,"WMMW+WX Cayenne, Guyane française"
AU RESTO DU COIN,https://www.google.com/maps/place/AU+RESTO+DU+COIN/data=!4m7!3m6!1s0x8d122332c80b00f1:0xa59df61d5821281b!8m2!3d4.9436897!4d-52.3068764!16s%2Fg%2F11hczyt1qx!19sChIJ8QALyDIjEo0RGyghWB32naU?authuser=0&hl=fr&rclk=1,Restaurant,"1 rue Georges gueril, Cayenne 97300, Guyane française",+594 594 39 13 69,,"4,1",92,non,,,,,,,"WMVV+F6 Cayenne, Guyane française"
OLÉ La Terre,https://www.google.com/maps/place/OL%C3%89+La+Terre/data=!4m7!3m6!1s0x8d123d8301e94b9f:0x623279212fee0923!8m2!3d4.9350149!4d-52.3027992!16s%2Fg%2F11gy77gkr6!19sChIJn0vpAYM9Eo0RIwnuLyF5MmI?authuser=0&hl=fr&rclk=1,Restaurant espagnol,"Avenue jiao tong Cayenne, 97300, Guyane française",+594 694 42 36 40,olelaterre.com,"4,1",248,oui,,,,,,oui,"WMPW+2V Cayenne, Guyane française"
Au Mékong,https://www.google.com/maps/place/Au+M%C3%A9kong/data=!4m7!3m6!1s0x8d123d2f001655b7:0xee08d02ef71965cd!8m2!3d4.9378347!4d-52.3267558!16s%2Fg%2F11c57k0tgq!19sChIJt1UWAC89Eo0RzWUZ9y7QCO4?authuser=0&hl=fr&rclk=1,Restaurant vietnamien,"50-56 Rue du Dr Barrat, Cayenne 97300, Guyane française",+594 594 31 85 02,,"4,2",217,non,,,,,oui,oui,"WMQF+47 Cayenne, Guyane française"
Alegria,https://www.google.com/maps/place/Alegria/data=!4m7!3m6!1s0x8d123d2f25bb3e5d:0x73deb5f058d5464!8m2!3d4.9376598!4d-52.3249396!16s%2Fg%2F11c0t9s7ch!19sChIJXT67JS89Eo0RZFSNBV_rPQc?authuser=0&hl=fr&rclk=1,Restaurant brésilien,"5 Bd de la République, Cayenne 97300, Guyane française",+594 594 35 14 21,,"4,2",151,oui,,,,,oui,oui,"WMQG+32 Cayenne, Guyane française"
Ara Bleu,https://www.google.com/maps/place/Ara+Bleu/data=!4m7!3m6!1s0x8d123d42317f1fcf:0x8583be8a6dc91847!8m2!3d4.9396994!4d-52.3296483!16s%2Fg%2F11gxmvzdwp!19sChIJzx9_MUI9Eo0RRxjJbYq-g4U?authuser=0&hl=fr&rclk=1,Restaurant,"WMQC+V4H, Cayenne 97300, Guyane française",+594 694 20 53 54,,"4,7",101,oui,,non,,,,oui,
Café De La Gare Cayenne,https://www.google.com/maps/place/Caf%C3%A9+De+La+Gare+Cayenne/data=!4m7!3m6!1s0x8d123d3279b23b0d:0x981ce52fa90e5cf5!8m2!3d4.9418372!4d-52.3298053!16s%2Fg%2F11c6lg_6j9!19sChIJDTuyeTI9Eo0R9VwOqS_lHJg?authuser=0&hl=fr&rclk=1,Restaurant,"42 97300 Rue Héder, Cayenne 97300, Guyane française",+594 594 28 53 20,facebook.com,"4,1",224,oui,,non,,,oui,oui,"WMRC+P3 Cayenne, Guyane française"
Restaurant Chez moi,https://www.google.com/maps/place/Restaurant+Chez+moi/data=!4m7!3m6!1s0x8d123dc80a8e8a11:0x38d7a2bf8e48dc70!8m2!3d4.9365021!4d-52.3347567!16s%2Fg%2F11s5mq2w79!19sChIJEYqOCsg9Eo0RcNxIjr-i1zg?authuser=0&hl=fr&rclk=1,Restaurant chinois,"97300 Rue du Dr Ste Rose, Cayenne 97300, Guyane française",+594 594 31 88 83,,"4,6",36,non,,,,,,oui,"WMP8+J3 Cayenne, Guyane française"
Le Marrakech Cayenne,https://www.google.com/maps/place/Le+Marrakech+Cayenne/data=!4m7!3m6!1s0x8d123d44f572239d:0xa5c2fd4ed384c171!8m2!3d4.938774!4d-52.331399!16s%2Fg%2F11fmf8b7m1!19sChIJnSNy9UQ9Eo0RccGE0079wqU?authuser=0&hl=fr&rclk=1,Restaurant halal,"42 Av. du Général de Gaulle, Cayenne 97300, Guyane française",+594 594 31 71 66,,"4,1",119,non,,,,,oui,oui,"WMQ9+GC Cayenne, Guyane française"
Le K Restaurant,https://www.google.com/maps/place/Le+K+Restaurant/data=!4m7!3m6!1s0x8d123d3756632487:0xa2bda0f8b2af9ca4!8m2!3d4.9367341!4d-52.3351211!16s%2Fg%2F11c59tzh6p!19sChIJhyRjVjc9Eo0RpJyvsvigvaI?authuser=0&hl=fr&rclk=1,Restaurant français,"4 Rue du Dr Ste Rose, Cayenne 97300, Guyane française",+594 594 27 40 12,restaurant-hotelkeralberte.com,4,158,non,,non,,,,oui,"WMP7+MX Cayenne, Guyane française"
Restaurant CEJO,https://www.google.com/maps/place/Restaurant+CEJO/data=!4m7!3m6!1s0x8d122300442af89f:0xc5bd3e15146328be!8m2!3d4.949281!4d-52.3014635!16s%2Fg%2F11y32szgb6!19sChIJn_gqRAAjEo0RvihjFBU-vcU?authuser=0&hl=fr&rclk=1,Restaurant,"3 rue des Goelands Bruns, Cayenne 97300, Guyane française",+594 694 25 42 53,bookings.zenchef.com,"4,4",140,oui,,non,,,,oui,"WMXX+PC Cayenne, Guyane française"
Bo Bun Montabo,https://www.google.com/maps/place/Bo+Bun+Montabo/data=!4m7!3m6!1s0x8d123d1b12be4bbb:0x2b69d3791d17b049!8m2!3d4.93127!4d-52.2907909!16s%2Fg%2F11h3bbnjwj!19sChIJu0u-Ehs9Eo0RSbAXHXnTaSs?authuser=0&hl=fr&rclk=1,Restaurant chinois,"WPJ5+GM4, Cayenne 97300, Guyane française",+594 594 35 76 67,,"4,3",131,oui,,,,,oui,oui,
Restaurant Pédagogique du RSMA,https://www.google.com/maps/place/Restaurant+P%C3%A9dagogique+du+RSMA/data=!4m7!3m6!1s0x8d123d50571789a3:0x59c89f5737b5461b!8m2!3d4.9143213!4d-52.3098869!16s%2Fg%2F11tjc6dqyd!19sChIJo4kXV1A9Eo0RG0a1N1efyFk?authuser=0&hl=fr&rclk=1,Restaurant,"WM7R+H8W, 97300 Rte du Tigre, Cayenne 97300, Guyane française",,,"4,6",7,oui,,,,,,oui,
La Taverne De Cayenne,https://www.google.com/maps/place/La+Taverne+De+Cayenne/data=!4m7!3m6!1s0x8d123dbadc9374f1:0x868acd0731a0e772!8m2!3d4.9367505!4d-52.3326492!16s%2Fg%2F11c0zx6dgm!19sChIJ8XST3Lo9Eo0RcuegMQfNioY?authuser=0&hl=fr&rclk=1,Restaurant,"26 Rue mole La taverne de Cayenne Cayenne, Française 97300, Guyane française",+594 694 23 41 54,lataverne973-86.webself.net,4,183,oui,,non,,,oui,oui,"WMP8+PW Cayenne, Guyane française"
Restaurant LE CHATEAU,https://www.google.com/maps/place/Restaurant+LE+CHATEAU/data=!4m7!3m6!1s0x8d123d5c40bd9cd7:0xa455b5f9a19d1c83!8m2!3d4.90203!4d-52.3257509!16s%2Fg%2F11y6kysdqv!19sChIJ15y9QFw9Eo0Rgxydofm1VaQ?authuser=0&hl=fr&rclk=1,Restaurant français,"44 BIS Rue Raoul Tanon de Pelissier, Collery, Cayenne 97300, Guyane française",+594 694 22 80 18,facebook.com,"4,1",58,non,,non,,,,oui,"WM2F+RM Cayenne, Guyane française"
La TABLE du MOONLIGHT- STEAKHOUSE,https://www.google.com/maps/place/La+TABLE+du+MOONLIGHT-+STEAKHOUSE/data=!4m7!3m6!1s0x8d12233587c76bc3:0x6abeb1333e9a8b81!8m2!3d4.9462448!4d-52.3073452!16s%2Fg%2F11y3j4ft11!19sChIJw2vHhzUjEo0RgYuaPjOxvmo?authuser=0&hl=fr&rclk=1,Restaurant,"464 Chem. Grant, Cayenne 97300, Guyane française",+594 594 39 10 00,latabledumoonlight.fr,"4,3",76,non,,non,,,,oui,"WMWV+F3 Cayenne, Guyane française"
Kaz Dodo,https://www.google.com/maps/place/Kaz+Dodo/data=!4m7!3m6!1s0x8d123df49409d5b1:0xbb1eb6a5a678b416!8m2!3d4.9407851!4d-52.3261234!16s%2Fg%2F11gzmcpxvk!19sChIJsdUJlPQ9Eo0RFrR4pqW2Hrs?authuser=0&hl=fr&rclk=1,Restaurant créole,"23 Rue Polycarpe Avenue D'Estrées Cayenne, 97300, Guyane française",+594 594 38 65 09,,"4,5",46,non,,,,,oui,oui,"WMRF+8H Cayenne, Guyane française"
Restaurant Tarzan,https://www.google.com/maps/place/Restaurant+Tarzan/data=!4m7!3m6!1s0x8d123d1ff6b6601d:0xd3fcde0b82fadeca!8m2!3d4.9181166!4d-52.3068691!16s%2Fg%2F11h950w1gw!19sChIJHWC29h89Eo0Ryt76ggve_NM?authuser=0&hl=fr&rclk=1,Restaurant,"WM9V+67R, Rte de Tarzan, Cayenne 97354, Guyane française",+594 694 06 03 42,,"4,2",59,non,,non,,,,oui,
Le Taj Guyane,https://www.google.com/maps/place/Le+Taj+Guyane/data=!4m7!3m6!1s0x8d123d318b5793a5:0x500647cfaf0380a6!8m2!3d4.9362185!4d-52.3357431!16s%2Fg%2F11smgf8z7z!19sChIJpZNXizE9Eo0RpoADr89HBlA?authuser=0&hl=fr&rclk=1,Restaurant indien,"1 bis Rue Mentel, Cayenne 97300, Guyane française",+594 594 25 99 54,,"4,1",106,oui,,oui,oui,,oui,oui,"WMP7+FP Cayenne, Guyane française"
Bar Chez Julieta,https://www.google.com/maps/place/Bar+Chez+Julieta/data=!4m7!3m6!1s0x8d123dc00d6121d5:0xabb298c2205dc94f!8m2!3d4.9351783!4d-52.3353676!16s%2Fg%2F11fhqq6clx!19sChIJ1SFhDcA9Eo0RT8ldIMKYsqs?authuser=0&hl=fr&rclk=1,Restaurant brésilien,"12 Rue Mentel, Cayenne 97300, Guyane française",+594 594 31 70 87,,"4,1",49,oui,,,,,oui,oui,"WMP7+3V Cayenne, Guyane française"
Restau Bar au bout du monde - Bar do bilu,https://www.google.com/maps/place/Restau+Bar+au+bout+du+monde+-+Bar+do+bilu/data=!4m7!3m6!1s0x8d123d76daaa39df:0x782fa2047ac01d82!8m2!3d4.9182484!4d-52.3108397!16s%2Fg%2F11rk0074kr!19sChIJ3zmq2nY9Eo0Rgh3AegSiL3g?authuser=0&hl=fr&rclk=1,Restauration rapide,"128 lotissement plöermel, Route de Raban, Cayenne 97300, Guyane française",07 69 35 24 73,,"4,4",27,oui,,oui,oui,,,oui,"WM9Q+7M Cayenne, Guyane française"
La rivière Impériale,https://www.google.com/maps/place/La+rivi%C3%A8re+Imp%C3%A9riale/data=!4m7!3m6!1s0x8d123d318aec31fb:0x7d33e6cf9bcfd3b3!8m2!3d4.942542!4d-52.33142!16s%2Fg%2F11c6yfpl7_!19sChIJ-zHsijE9Eo0Rs9PPm8_mM30?authuser=0&hl=fr&rclk=1,Restaurant,"10 Rue J. Catayée, Cayenne 97300, Guyane française",+594 594 28 62 51,riviereimperiale.com,"4,5",38,non,,non,,,oui,oui,"WMV9+2C Cayenne, Guyane française"
Brasserie ANCO | Restaurant Cayenne - Rémire-Montjoly,https://www.google.com/maps/place/Brasserie+ANCO+%7C+Restaurant+Cayenne+-+R%C3%A9mire-Montjoly/data=!4m7!3m6!1s0x8d123d4a7a4d8be1:0x1f37843be8d2c712!8m2!3d4.9227683!4d-52.2892268!16s%2Fg%2F11y5rxrtvx!19sChIJ4YtNeko9Eo0REsfS6DuENx8?authuser=0&hl=fr&rclk=1,Restaurant,"483 Rte de Suzini, Remire-Montjoly 97354, Guyane française",+594 594 35 86 17,,"4,2",31,oui,,non,,,,oui,"WPF6+48 Remire-Montjoly, Guyane française"
Restaurant le Brillant,https://www.google.com/maps/place/Restaurant+le+Brillant/data=!4m7!3m6!1s0x8d123cb7ac0c2c69:0xe323b6d480ca4b9f!8m2!3d4.9356818!4d-52.2951163!16s%2Fg%2F11c2lyk3sr!19sChIJaSwMrLc8Eo0Rn0vKgNS2I-M?authuser=0&hl=fr&rclk=1,Restaurant chinois,"2957-2967 Rte de Montabo, Cayenne 97300, Guyane française",+594 594 39 08 54,,"3,8",155,oui,,,,,oui,oui,"WPP3+7X Cayenne, Guyane française"
Burger Gold,https://www.google.com/maps/place/Burger+Gold/data=!4m7!3m6!1s0x8d123d76b51fc241:0x2acb62a3b0ad86f4!8m2!3d4.9213541!4d-52.3043105!16s%2Fg%2F11j0_4zk9p!19sChIJQcIftXY9Eo0R9IatsKNiyyo?authuser=0&hl=fr&rclk=1,Restaurant,"Route de Trou Biran, Cayenne 97300, Guyane française",+594 694 43 79 42,,"4,7",20,non,,,,,oui,oui,"WMCW+G7 Cayenne, Guyane française"
Boys Fromager,https://www.google.com/maps/place/Boys+Fromager/data=!4m7!3m6!1s0x8d123d8f9d0a1f63:0x5ecd0d5003642375!8m2!3d4.9360165!4d-52.2955292!16s%2Fg%2F11rfn2shyq!19sChIJYx8KnY89Eo0RdSNkA1ANzV4?authuser=0&hl=fr&rclk=1,Restaurant créole,"Cité Zephir, Cayenne 97300, Guyane française",+594 594 24 39 32,,"4,3",15,oui,,,,,oui,oui,"WPP3+CQ Cayenne, Guyane française"
grillades viandes,https://www.google.com/maps/place/grillades+viandes/data=!4m7!3m6!1s0x8d123d1c34e2c96f:0x34e3b54e331fcfae!8m2!3d4.9220369!4d-52.3215548!16s%2Fg%2F11g6mc8k93!19sChIJb8niNBw9Eo0Rrs8fM0614zQ?authuser=0&hl=fr&rclk=1,Restaurant de grillades,"WMCH+R98, Cayenne 97300, Guyane française",+594 694 00 63 22,,"4,5",12,non,,,,,,oui,
Chez Josie,https://www.google.com/maps/place/Chez+Josie/data=!4m7!3m6!1s0x8d123dbe855ca129:0xdf021165e0f33d4c!8m2!3d4.9348399!4d-52.3297665!16s%2Fg%2F11fnd0d495!19sChIJKaFchb49Eo0RTD3z4GURAt8?authuser=0&hl=fr&rclk=1,Restaurant,"64 Rue Renée Jadfard, Cayenne 97300, Guyane française",+594 594 37 84 76,,5,12,non,,,,,,,"WMMC+W3 Cayenne, Guyane française"
Ti'Bato Burger,https://www.google.com/maps/place/Ti%27Bato+Burger/data=!4m7!3m6!1s0x8d122334ffbb7d21:0x3c559a826f3dae32!8m2!3d4.9444757!4d-52.3165137!16s%2Fg%2F11j91z5ykt!19sChIJIX27_zQjEo0RMq49b4KaVTw?authuser=0&hl=fr&rclk=1,Restauration rapide,"292 Rte de Montabo, Cayenne 97300, Guyane française",+594 594 20 30 65,ti-bato-burger.fr,"4,6",131,oui,,oui,,,oui,oui,"WMVM+Q9 Cayenne, Guyane française"
Ti krampouezh (Cayenne),https://www.google.com/maps/place/Ti+krampouezh+%28Cayenne%29/data=!4m7!3m6!1s0x8d123d2db28b3ae5:0x66e82b233843c1a4!8m2!3d4.9417566!4d-52.3268963!16s%2Fg%2F11f4qyrrwq!19sChIJ5TqLsi09Eo0RpMFDOCMr6GY?authuser=0&hl=fr&rclk=1,Crêperie,"17 bis, Bd Nelson Madiba Mandela, Cayenne 97300, Guyane française",+594 694 28 23 00,ti-krampouezh.e-monsite.com,"4,2",94,non,,,,,,oui,"WMRF+P6 Cayenne, Guyane française"
Restaurant Epidendrum,https://www.google.com/maps/place/Restaurant+Epidendrum/data=!4m7!3m6!1s0x8d123d00076f1019:0x80a2117fd0914366!8m2!3d4.935643!4d-52.285846!16s%2Fg%2F11tghcctg2!19sChIJGRBvBwA9Eo0RZkOR0H8RooA?authuser=0&hl=fr&rclk=1,Restaurant gastronomique,"634 Rte de Bourda, Cayenne 97300, Guyane française",+594 594 29 12 45,,"4,9",8,oui,,non,,,,oui,"WPP7+7M Cayenne, Guyane française"
Vévé Delices,https://www.google.com/maps/place/V%C3%A9v%C3%A9+Delices/data=!4m7!3m6!1s0x8d123d322f4b8415:0x7ffb3f25bac3802a!8m2!3d4.9407727!4d-52.3314324!16s%2Fg%2F11by_n9jzz!19sChIJFYRLLzI9Eo0RKoDDuiU_-38?authuser=0&hl=fr&rclk=1,Restaurant,"WMR9+8C4, Cayenne 97300, Guyane française",+594 694 01 26 04,,"4,2",24,oui,,,,,oui,oui,
La Bossa Nova,https://www.google.com/maps/place/La+Bossa+Nova/data=!4m7!3m6!1s0x8d123dbd5b662619:0xa5d54bb54ed61297!8m2!3d4.8967919!4d-52.274447!16s%2Fg%2F11jclfcdm4!19sChIJGSZmW709Eo0RlxLWTrVL1aU?authuser=0&hl=fr&rclk=1,Restaurant créole,"1179 Rte de Remire, Remire-Montjoly 97354, Guyane française",+594 694 24 06 31,,"4,4",8,non,,oui,,,oui,oui,"VPWG+P6 Remire-Montjoly, Guyane française"
